Strain	Nitro	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR1	100	5	21	1	1,29	1	1	226
CR1	100	5	21	1	1,29	1	2	240
CR1	100	5	21	1	1,29	1	3	267
CR2	100	5	21	1	1,29	1	1	49
CR2	100	5	21	1	1,29	1	2	65
CR2	100	5	21	1	1,29	1	3	46
CR3	100	5	21	1	1,29	1	1	47
CR3	100	5	21	1	1,29	1	2	79
CR3	100	5	21	1	1,29	1	3	67
CR4	100	5	21	1	1,29	1	1	115
CR4	100	5	21	1	1,29	1	2	126
CR4	100	5	21	1	1,29	1	3	128
CR5	100	5	21	1	1,29	1	1	178
CR5	100	5	21	1	1,29	1	2	117
CR5	100	5	21	1	1,29	1	3	186
CR6	100	5	21	1	1,29	1	1	154
CR6	100	5	21	1	1,29	1	2	137
CR6	100	5	21	1	1,29	1	3	189
CR1	100	5	21	1	1,29	2	1	428
CR1	100	5	21	1	1,29	2	2	480
CR1	100	5	21	1	1,29	2	3	530
CR2	100	5	21	1	1,29	2	1	345
CR2	100	5	21	1	1,29	2	2	487
CR2	100	5	21	1	1,29	2	3	346
CR3	100	5	21	1	1,29	2	1	185
CR3	100	5	21	1	1,29	2	2	285
CR3	100	5	21	1	1,29	2	3	235
CR4	100	5	21	1	1,29	2	1	677
CR4	100	5	21	1	1,29	2	2	632
CR4	100	5	21	1	1,29	2	3	678
CR5	100	5	21	1	1,29	2	1	740
CR5	100	5	21	1	1,29	2	2	421
CR5	100	5	21	1	1,29	2	3	641
CR6	100	5	21	1	1,29	2	1	681
CR6	100	5	21	1	1,29	2	2	456
CR6	100	5	21	1	1,29	2	3	675
CR1	100	5	21	1	1,29	3	1	1692
CR1	100	5	21	1	1,29	3	2	1644
CR1	100	5	21	1	1,29	3	3	1626
CR2	100	5	21	1	1,29	3	1	884
CR2	100	5	21	1	1,29	3	2	868
CR2	100	5	21	1	1,29	3	3	885
CR3	100	5	21	1	1,29	3	1	724
CR3	100	5	21	1	1,29	3	2	699
CR3	100	5	21	1	1,29	3	3	772
CR4	100	5	21	1	1,29	3	1	2709
CR4	100	5	21	1	1,29	3	2	2970
CR4	100	5	21	1	1,29	3	3	3062
CR5	100	5	21	1	1,29	3	1	3159
CR5	100	5	21	1	1,29	3	2	3278
CR5	100	5	21	1	1,29	3	3	3061
CR6	100	5	21	1	1,29	3	1	3590
CR6	100	5	21	1	1,29	3	2	2934
CR6	100	5	21	1	1,29	3	3	2921
CR1	100	5	21	1	1,29	4	1	1526
CR1	100	5	21	1	1,29	4	2	1311
CR1	100	5	21	1	1,29	4	3	1496
CR2	100	5	21	1	1,29	4	1	602
CR2	100	5	21	1	1,29	4	2	806
CR2	100	5	21	1	1,29	4	3	928
CR3	100	5	21	1	1,29	4	1	586
CR3	100	5	21	1	1,29	4	2	740
CR3	100	5	21	1	1,29	4	3	955
CR4	100	5	21	1	1,29	4	1	3495
CR4	100	5	21	1	1,29	4	2	4102
CR4	100	5	21	1	1,29	4	3	4170
CR5	100	5	21	1	1,29	4	1	2965
CR5	100	5	21	1	1,29	4	2	3060
CR5	100	5	21	1	1,29	4	3	2327
CR6	100	5	21	1	1,29	4	1	3089
CR6	100	5	21	1	1,29	4	2	2546
CR6	100	5	21	1	1,29	4	3	1790
CR1	100	5	21	1	1,29	5	1	1569
CR1	100	5	21	1	1,29	5	2	1402
CR1	100	5	21	1	1,29	5	3	1340
CR2	100	5	21	1	1,29	5	1	257
CR2	100	5	21	1	1,29	5	2	211
CR2	100	5	21	1	1,29	5	3	354
CR3	100	5	21	1	1,29	5	1	300
CR3	100	5	21	1	1,29	5	2	357
CR3	100	5	21	1	1,29	5	3	343
CR4	100	5	21	1	1,29	5	1	4232
CR4	100	5	21	1	1,29	5	2	4191
CR4	100	5	21	1	1,29	5	3	4274
CR5	100	5	21	1	1,29	5	1	4475
CR5	100	5	21	1	1,29	5	2	3845
CR5	100	5	21	1	1,29	5	3	2961
CR6	100	5	21	1	1,29	5	1	3420
CR6	100	5	21	1	1,29	5	2	2958
CR6	100	5	21	1	1,29	5	3	2574
CR1	100	5	21	1	1,29	6	1	1345
CR1	100	5	21	1	1,29	6	2	1363
CR1	100	5	21	1	1,29	6	3	1420
CR2	100	5	21	1	1,29	6	1	783
CR2	100	5	21	1	1,29	6	2	752
CR2	100	5	21	1	1,29	6	3	795
CR3	100	5	21	1	1,29	6	1	663
CR3	100	5	21	1	1,29	6	2	684
CR3	100	5	21	1	1,29	6	3	802
CR4	100	5	21	1	1,29	6	1	3914
CR4	100	5	21	1	1,29	6	2	3918
CR4	100	5	21	1	1,29	6	3	3913
CR5	100	5	21	1	1,29	6	1	4188
CR5	100	5	21	1	1,29	6	2	3869
CR5	100	5	21	1	1,29	6	3	3356
CR6	100	5	21	1	1,29	6	1	4227
CR6	100	5	21	1	1,29	6	2	3459
CR6	100	5	21	1	1,29	6	3	3613
CR1	100	5	21	1	1,29	7	1	1073
CR1	100	5	21	1	1,29	7	2	921
CR1	100	5	21	1	1,29	7	3	1092
CR2	100	5	21	1	1,29	7	1	631
CR2	100	5	21	1	1,29	7	2	707
CR2	100	5	21	1	1,29	7	3	735
CR3	100	5	21	1	1,29	7	1	522
CR3	100	5	21	1	1,29	7	2	544
CR3	100	5	21	1	1,29	7	3	469
CR4	100	5	21	1	1,29	7	1	3679
CR4	100	5	21	1	1,29	7	2	3702
CR4	100	5	21	1	1,29	7	3	3713
CR5	100	5	21	1	1,29	7	1	3247
CR5	100	5	21	1	1,29	7	2	2812
CR5	100	5	21	1	1,29	7	3	2810
CR6	100	5	21	1	1,29	7	1	3777
CR6	100	5	21	1	1,29	7	2	2978
CR6	100	5	21	1	1,29	7	3	2927
CR1	100	5	21	1	1,29	8	1	1184
CR1	100	5	21	1	1,29	8	2	1077
CR1	100	5	21	1	1,29	8	3	1194
CR2	100	5	21	1	1,29	8	1	572
CR2	100	5	21	1	1,29	8	2	361
CR2	100	5	21	1	1,29	8	3	443
CR3	100	5	21	1	1,29	8	1	395
CR3	100	5	21	1	1,29	8	2	326
CR3	100	5	21	1	1,29	8	3	291
CR4	100	5	21	1	1,29	8	1	3507
CR4	100	5	21	1	1,29	8	2	3599
CR4	100	5	21	1	1,29	8	3	3449
CR5	100	5	21	1	1,29	8	1	3911
CR5	100	5	21	1	1,29	8	2	3721
CR5	100	5	21	1	1,29	8	3	3626
CR6	100	5	21	1	1,29	8	1	4134
CR6	100	5	21	1	1,29	8	2	3536
CR6	100	5	21	1	1,29	8	3	3487
CR1	100	5	21	1	1,29	9	1	1355
CR1	100	5	21	1	1,29	9	2	1187
CR1	100	5	21	1	1,29	9	3	1419
CR2	100	5	21	1	1,29	9	1	378
CR2	100	5	21	1	1,29	9	2	295
CR2	100	5	21	1	1,29	9	3	290
