"Strain"	"Nitro"	"DayP"	"DensP"	"DensPLSD"	"DensPUSD"	"DensPLCI"	"DensPUCI"	"Model"
"CR1"	"100"	0	3004.0148	2403.21184	3604.81776	2403.21184	3604.81776	"Logistic"
"CR1"	"100"	0.1	4010.0688	3208.05504	4812.08256	3208.05504	4812.08256	"Logistic"
"CR1"	"100"	0.2	5293.1438	4234.51504	6351.77256	4234.51504	6351.77256	"Logistic"
"CR1"	"100"	0.3	6902.5025	5522.002	8283.003	5522.002	8283.003	"Logistic"
"CR1"	"100"	0.4	8886.7002	7109.36016	10664.04024	7109.36016	10664.04024	"Logistic"
"CR1"	"100"	0.5	11290.533	9032.4264	13548.6396	9032.4264	13548.6396	"Logistic"
"CR1"	"100"	0.6	14151.7872	11321.42976	16982.14464	11321.42976	16982.14464	"Logistic"
"CR1"	"100"	0.7	17498.122	13998.4976	20997.7464	13998.4976	20997.7464	"Logistic"
"CR1"	"100"	0.8	21344.436	17075.5488	25613.3232	17075.5488	25613.3232	"Logistic"
"CR1"	"100"	0.9	25691.0205	20552.8164	30829.2246	20552.8164	30829.2246	"Logistic"
"CR1"	"100"	1	30522.7114	24418.16912	36627.25368	24418.16912	36627.25368	"Logistic"
"CR1"	"100"	1.1	35809.1265	28647.3012	42970.9518	28647.3012	42970.9518	"Logistic"
"CR1"	"100"	1.2	41505.9421	33204.75368	49807.13052	33204.75368	49807.13052	"Logistic"
"CR1"	"100"	1.3	47557.0463	38045.63704	57068.45556	38045.63704	57068.45556	"Logistic"
"CR1"	"100"	1.4	53897.3246	43117.85968	64676.78952	43117.85968	64676.78952	"Logistic"
"CR1"	"100"	1.5	60455.7936	48364.63488	72546.95232	48364.63488	72546.95232	"Logistic"
"CR1"	"100"	1.6	67158.7989	53727.03912	80590.55868	53727.03912	80590.55868	"Logistic"
"CR1"	"100"	1.7	73933.0296	59146.42368	88719.63552	59146.42368	88719.63552	"Logistic"
"CR1"	"100"	1.8	80708.1603	64566.52824	96849.79236	64566.52824	96849.79236	"Logistic"
"CR1"	"100"	1.9	87418.9961	69935.19688	104902.79532	69935.19688	104902.79532	"Logistic"
"CR1"	"100"	2	94007.0658	75205.65264	112808.47896	75205.65264	112808.47896	"Logistic"
"CR1"	"100"	2.1	100421.6589	80337.32712	120505.99068	80337.32712	120505.99068	"Logistic"
"CR1"	"100"	2.2	106620.3531	85296.28248	127944.42372	85296.28248	127944.42372	"Logistic"
"CR1"	"100"	2.3	112569.0998	90055.27984	135082.91976	90055.27984	135082.91976	"Logistic"
"CR1"	"100"	2.4	118241.955	94593.564	141890.346	94593.564	141890.346	"Logistic"
"CR1"	"100"	2.5	123620.545	98896.436	148344.654	98896.436	148344.654	"Logistic"
"CR1"	"100"	2.6	128693.3509	102954.68072	154432.02108	102954.68072	154432.02108	"Logistic"
"CR1"	"100"	2.7	133454.8871	106763.90968	160145.86452	106763.90968	160145.86452	"Logistic"
"CR1"	"100"	2.8	137904.8359	110323.86872	165485.80308	110323.86872	165485.80308	"Logistic"
"CR1"	"100"	2.9	142047.186	113637.7488	170456.6232	113637.7488	170456.6232	"Logistic"
"CR1"	"100"	3	145889.4116	116711.52928	175067.29392	116711.52928	175067.29392	"Logistic"
"CR1"	"100"	3.1	149441.7144	119553.37152	179330.05728	119553.37152	179330.05728	"Logistic"
"CR1"	"100"	3.2	152716.3448	122173.07584	183259.61376	122173.07584	183259.61376	"Logistic"
"CR1"	"100"	3.3	155727.0071	124581.60568	186872.40852	124581.60568	186872.40852	"Logistic"
"CR1"	"100"	3.4	158488.3517	126790.68136	190186.02204	126790.68136	190186.02204	"Logistic"
"CR1"	"100"	3.5	161015.5489	128812.43912	193218.65868	128812.43912	193218.65868	"Logistic"
"CR1"	"100"	3.6	163323.9407	130659.15256	195988.72884	130659.15256	195988.72884	"Logistic"
"CR1"	"100"	3.7	165428.7609	132343.00872	198514.51308	132343.00872	198514.51308	"Logistic"
"CR1"	"100"	3.8	167344.9179	133875.93432	200813.90148	133875.93432	200813.90148	"Logistic"
"CR1"	"100"	3.9	169086.8291	135269.46328	202904.19492	135269.46328	202904.19492	"Logistic"
"CR1"	"100"	4	170668.3012	136534.64096	204801.96144	136534.64096	204801.96144	"Logistic"
