Strain	Volu	Site	Dilu	Cove	Trial	Cells	WaterC	WaterN	MediaC	MediaN	MassC	MassN
CR1	5	4	1	1.64	1	2874	0,034000	0,002000	0,080000	0,007000	6,210000	0,390000
CR1	5	4	1	1.64	2	2917	0,032000	0,002000	0,061000	0,005000	6,020000	0,390000
CR1	5	4	1	1.64	3	3000	0,028000	0,002000	0,064000	0,006000	5,350000	0,350000
CR2	5	4	1	1.64	1	3574	0,034000	0,002000	0,080000	0,007000	4,560000	0,330000
CR2	5	4	1	1.64	2	4169	0,032000	0,002000	0,061000	0,005000	4,530000	0,290000
CR2	5	4	1	1.64	3	3452	0,028000	0,002000	0,064000	0,006000	5,040000	0,310000
CR3	5	4	1	1.64	1	3520	0,034000	0,002000	0,080000	0,007000	5,170000	0,280000
CR3	5	4	1	1.64	2	3376	0,032000	0,002000	0,061000	0,005000	3,260000	0,220000
CR3	5	4	1	1.64	3	3287	0,028000	0,002000	0,064000	0,006000	4,000000	0,280000
CR4	5	4	1	1.64	1	5853	0,034000	0,002000	0,080000	0,007000	4,410000	0,350000
CR4	5	4	1	1.64	2	6387	0,032000	0,002000	0,061000	0,005000	4,480000	0,350000
CR4	5	4	1	1.64	3	7912	0,028000	0,002000	0,064000	0,006000	4,100000	0,310000
CR5	5	4	1	1.64	1	5246	0,034000	0,002000	0,080000	0,007000	5,530000	0,360000
CR5	5	4	1	1.64	2	5530	0,032000	0,002000	0,061000	0,005000	5,510000	0,380000
CR5	5	4	1	1.64	3	6336	0,028000	0,002000	0,064000	0,006000	5,350000	0,360000
CR6	5	4	1	1.64	1	5211	0,034000	0,002000	0,080000	0,007000	5,520000	0,340000
CR6	5	4	1	1.64	2	5235	0,032000	0,002000	0,061000	0,005000	5,550000	0,340000
CR6	5	4	1	1.64	3	5725	0,028000	0,002000	0,064000	0,006000	4,560000	0,300000
