Strain	Conc	Volu	Site	Dilu	Cove	Trial	Cells
CR1	10	5	21	1	1,29	1	4607
CR1	10	5	21	1	1,29	2	4784
CR1	10	5	21	1	1,29	3	4627
CR1	7,5	5	21	1	1,29	1	3336
CR1	7,5	5	21	1	1,29	2	3507
CR1	7,5	5	21	1	1,29	3	3398
CR1	5	5	21	1	1,29	1	2608
CR1	5	5	21	1	1,29	2	2529
CR1	5	5	21	1	1,29	3	2515
CR1	4	5	21	1	1,29	1	1981
CR1	4	5	21	1	1,29	2	2196
CR1	4	5	21	1	1,29	3	2203
CR1	3	5	21	1	1,29	1	1541
CR1	3	5	21	1	1,29	2	1488
CR1	3	5	21	1	1,29	3	1516
CR1	2	5	21	1	1,29	1	1040
CR1	2	5	21	1	1,29	2	1085
CR1	2	5	21	1	1,29	3	1090
CR1	1	5	21	1	1,29	1	621
CR1	1	5	21	1	1,29	2	608
CR1	1	5	21	1	1,29	3	611
CR1	0,8	5	21	1	1,29	1	532
CR1	0,8	5	21	1	1,29	2	515
CR1	0,8	5	21	1	1,29	3	473
CR1	0,6	5	21	1	1,29	1	399
CR1	0,6	5	21	1	1,29	2	418
CR1	0,6	5	21	1	1,29	3	424
CR1	0,4	5	21	1	1,29	1	261
CR1	0,4	5	21	1	1,29	2	250
CR1	0,4	5	21	1	1,29	3	244
CR1	0,2	5	21	1	1,29	1	161
CR1	0,2	5	21	1	1,29	2	134
CR1	0,2	5	21	1	1,29	3	133
CR2	10	5	21	1	1,29	1	4430
CR2	10	5	21	1	1,29	2	4130
CR2	10	5	21	1	1,29	3	4331
CR2	7,5	5	21	1	1,29	1	3311
CR2	7,5	5	21	1	1,29	2	3384
CR2	7,5	5	21	1	1,29	3	3693
CR2	5	5	21	1	1,29	1	2305
CR2	5	5	21	1	1,29	2	2107
CR2	5	5	21	1	1,29	3	2056
CR2	4	5	21	1	1,29	1	1354
CR2	4	5	21	1	1,29	2	1053
CR2	4	5	21	1	1,29	3	1199
CR2	3	5	21	1	1,29	1	547
CR2	3	5	21	1	1,29	2	593
CR2	3	5	21	1	1,29	3	652
CR2	2	5	21	1	1,29	1	713
CR2	2	5	21	1	1,29	2	781
CR2	2	5	21	1	1,29	3	728
CR2	1	5	21	1	1,29	1	128
CR2	1	5	21	1	1,29	2	150
CR2	1	5	21	1	1,29	3	177
CR2	0,8	5	21	1	1,29	1	271
CR2	0,8	5	21	1	1,29	2	285
CR2	0,8	5	21	1	1,29	3	292
CR2	0,6	5	21	1	1,29	1	206
CR2	0,6	5	21	1	1,29	2	173
CR2	0,6	5	21	1	1,29	3	159
CR2	0,4	5	21	1	1,29	1	133
CR2	0,4	5	21	1	1,29	2	126
CR2	0,4	5	21	1	1,29	3	173
CR2	0,2	5	21	1	1,29	1	76
CR2	0,2	5	21	1	1,29	2	51
CR2	0,2	5	21	1	1,29	3	75
CR3	10	5	21	1	1,29	1	4290
CR3	10	5	21	1	1,29	2	4202
CR3	10	5	21	1	1,29	3	4351
CR3	7,5	5	21	1	1,29	1	3364
CR3	7,5	5	21	1	1,29	2	3470
CR3	7,5	5	21	1	1,29	3	3405
CR3	5	5	21	1	1,29	1	2522
CR3	5	5	21	1	1,29	2	2481
CR3	5	5	21	1	1,29	3	2302
CR3	4	5	21	1	1,29	1	1960
CR3	4	5	21	1	1,29	2	1972
CR3	4	5	21	1	1,29	3	2144
CR3	3	5	21	1	1,29	1	636
CR3	3	5	21	1	1,29	2	727
CR3	3	5	21	1	1,29	3	819
CR3	2	5	21	1	1,29	1	572
CR3	2	5	21	1	1,29	2	562
CR3	2	5	21	1	1,29	3	618
CR3	1	5	21	1	1,29	1	411
CR3	1	5	21	1	1,29	2	529
CR3	1	5	21	1	1,29	3	438
CR3	0,8	5	21	1	1,29	1	303
CR3	0,8	5	21	1	1,29	2	309
CR3	0,8	5	21	1	1,29	3	317
CR3	0,6	5	21	1	1,29	1	243
CR3	0,6	5	21	1	1,29	2	214
CR3	0,6	5	21	1	1,29	3	286
CR3	0,4	5	21	1	1,29	1	179
CR3	0,4	5	21	1	1,29	2	113
CR3	0,4	5	21	1	1,29	3	167
CR3	0,2	5	21	1	1,29	1	80
CR3	0,2	5	21	1	1,29	2	78
CR3	0,2	5	21	1	1,29	3	104
CR4	10	5	21	1	1,29	1	6009
CR4	10	5	21	1	1,29	2	6345
