"Strain"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"	"IngesPLCI"	"IngesPUCI"	"Model"
"CR1"	0.1	0.0015	0.0012	0.0018	0.0012	0.0018	"Holling II"
"CR1"	0.2	0.003	0.0024	0.0036	0.0024	0.0036	"Holling II"
"CR1"	0.3	0.0045	0.0036	0.0054	0.0036	0.0054	"Holling II"
"CR1"	0.4	0.0059	0.00472	0.00708	0.00472	0.00708	"Holling II"
"CR1"	0.5	0.0072	0.0058	0.00864	0.00576	0.00864	"Holling II"
"CR1"	0.6	0.0085	0.0069	0.0102	0.0068	0.0102	"Holling II"
"CR1"	0.7	0.0098	0.008	0.0116	0.00784	0.01176	"Holling II"
"CR1"	0.8	0.011	0.0091	0.013	0.0088	0.0132	"Holling II"
"CR1"	0.9	0.0122	0.0102	0.0143	0.00976	0.01464	"Holling II"
"CR1"	1	0.0134	0.0112	0.0156	0.01072	0.01608	"Holling II"
"CR1"	1.1	0.0146	0.0123	0.0168	0.01168	0.01752	"Holling II"
"CR1"	1.2	0.0157	0.0133	0.018	0.01256	0.01884	"Holling II"
"CR1"	1.3	0.0167	0.0143	0.0192	0.01336	0.02004	"Holling II"
"CR1"	1.4	0.0178	0.0153	0.0203	0.01424	0.02136	"Holling II"
"CR1"	1.5	0.0188	0.0163	0.0213	0.01504	0.02256	"Holling II"
"CR1"	1.6	0.0198	0.0172	0.0223	0.01584	0.02376	"Holling II"
"CR1"	1.7	0.0208	0.0182	0.0233	0.01664	0.02496	"Holling II"
"CR1"	1.8	0.0217	0.0191	0.0243	0.01736	0.02604	"Holling II"
"CR1"	1.9	0.0226	0.02	0.0252	0.01808	0.02712	"Holling II"
"CR1"	2	0.0235	0.0209	0.0261	0.0188	0.0282	"Holling II"
"CR1"	2.1	0.0244	0.0218	0.027	0.01952	0.02928	"Holling II"
"CR1"	2.2	0.0252	0.0227	0.0278	0.02016	0.03024	"Holling II"
"CR1"	2.3	0.0261	0.0235	0.0286	0.02088	0.03132	"Holling II"
"CR1"	2.4	0.0269	0.0243	0.0294	0.02152	0.03228	"Holling II"
"CR1"	2.5	0.0277	0.0252	0.0302	0.02216	0.03324	"Holling II"
"CR1"	2.6	0.0284	0.0259	0.0309	0.02272	0.034	"Holling II"
"CR1"	2.7	0.0292	0.0267	0.0317	0.02336	0.0348	"Holling II"
"CR1"	2.8	0.0299	0.0275	0.0324	0.02392	0.0355	"Holling II"
"CR1"	2.9	0.0307	0.0282	0.0331	0.02456	0.0362	"Holling II"
"CR1"	3	0.0314	0.029	0.0338	0.02512	0.0369	"Holling II"
"CR1"	3.1	0.0321	0.0297	0.0345	0.02568	0.0376	"Holling II"
"CR1"	3.2	0.0327	0.0304	0.0351	0.02616	0.0383	"Holling II"
"CR1"	3.3	0.0334	0.031	0.0358	0.02672	0.0389	"Holling II"
"CR1"	3.4	0.0341	0.0317	0.0364	0.02728	0.0396	"Holling II"
"CR1"	3.5	0.0347	0.0323	0.0371	0.02776	0.0402	"Holling II"
"CR1"	3.6	0.0353	0.0329	0.0377	0.02824	0.0409	"Holling II"
"CR1"	3.7	0.0359	0.0335	0.0383	0.02872	0.0415	"Holling II"
"CR1"	3.8	0.0365	0.0341	0.0389	0.0292	0.0422	"Holling II"
