Strain	Nitro	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR1	1	5	21	1	1,29	1	1	16
CR1	1	5	21	1	1,29	1	2	17
CR1	1	5	21	1	1,29	1	3	16
CR1	2	5	21	1	1,29	1	1	15
CR1	2	5	21	1	1,29	1	2	18
CR1	2	5	21	1	1,29	1	3	14
CR1	4	5	21	1	1,29	1	1	19
CR1	4	5	21	1	1,29	1	2	17
CR1	4	5	21	1	1,29	1	3	19
CR1	6	5	21	1	1,29	1	1	20
CR1	6	5	21	1	1,29	1	2	17
CR1	6	5	21	1	1,29	1	3	21
CR1	8	5	21	1	1,29	1	1	22
CR1	8	5	21	1	1,29	1	2	23
CR1	8	5	21	1	1,29	1	3	22
CR1	10	5	21	1	1,29	1	1	22
CR1	10	5	21	1	1,29	1	2	15
CR1	10	5	21	1	1,29	1	3	15
CR1	20	5	21	1	1,29	1	1	12
CR1	20	5	21	1	1,29	1	2	13
CR1	20	5	21	1	1,29	1	3	14
CR1	30	5	21	1	1,29	1	1	14
CR1	30	5	21	1	1,29	1	2	17
CR1	30	5	21	1	1,29	1	3	18
CR2	1	5	21	1	1,29	1	1	121
CR2	1	5	21	1	1,29	1	2	116
CR2	1	5	21	1	1,29	1	3	119
CR2	2	5	21	1	1,29	1	1	125
CR2	2	5	21	1	1,29	1	2	115
CR2	2	5	21	1	1,29	1	3	106
CR2	4	5	21	1	1,29	1	1	62
CR2	4	5	21	1	1,29	1	2	112
CR2	4	5	21	1	1,29	1	3	127
CR2	6	5	21	1	1,29	1	1	60
CR2	6	5	21	1	1,29	1	2	57
CR2	6	5	21	1	1,29	1	3	51
CR2	8	5	21	1	1,29	1	1	55
CR2	8	5	21	1	1,29	1	2	54
CR2	8	5	21	1	1,29	1	3	53
CR2	10	5	21	1	1,29	1	1	59
CR2	10	5	21	1	1,29	1	2	130
CR2	10	5	21	1	1,29	1	3	114
CR2	20	5	21	1	1,29	1	1	107
CR2	20	5	21	1	1,29	1	2	122
CR2	20	5	21	1	1,29	1	3	113
CR2	30	5	21	1	1,29	1	1	110
CR2	30	5	21	1	1,29	1	2	108
CR2	30	5	21	1	1,29	1	3	115
CR3	1	5	21	1	1,29	1	1	101
CR3	1	5	21	1	1,29	1	2	100
CR3	1	5	21	1	1,29	1	3	98
CR3	2	5	21	1	1,29	1	1	94
CR3	2	5	21	1	1,29	1	2	96
CR3	2	5	21	1	1,29	1	3	116
CR3	4	5	21	1	1,29	1	1	174
CR3	4	5	21	1	1,29	1	2	100
CR3	4	5	21	1	1,29	1	3	110
CR3	6	5	21	1	1,29	1	1	120
CR3	6	5	21	1	1,29	1	2	92
