"Strain"	"DayP"	"DensP"	"DensPLSD"	"DensPUSD"	"DensPLCI"	"DensPUCI"	"Model"
"CR1"	0	3.9856	3.6205	4.3506	3.18848	4.78272	"Mortality"
"CR1"	0.1	4.4761	4.1077	4.8446	3.58088	5.37132	"Mortality"
"CR1"	0.2	4.976	4.6089	5.343	3.9808	5.9712	"Mortality"
"CR1"	0.3	5.4791	5.1182	5.84	4.38328	6.57492	"Mortality"
"CR1"	0.4	5.9795	5.6291	6.33	4.7836	7.1754	"Mortality"
"CR1"	0.5	6.4716	6.1355	6.8077	5.17728	7.76592	"Mortality"
"CR1"	0.6	6.95	6.6317	7.2683	5.5752	8.3156	"Mortality"
"CR1"	0.7	7.4097	7.112	7.7074	6.1223	8.6858	"Mortality"
"CR1"	0.8	7.8464	7.5716	8.1213	6.6564	9.0236	"Mortality"
"CR1"	0.9	8.2565	8.0062	8.5068	7.1711	9.3279	"Mortality"
"CR1"	1	8.6368	8.412	8.8615	7.6608	9.5979	"Mortality"
"CR1"	1.1	8.9848	8.7862	9.1835	8.1209	9.8337	"Mortality"
"CR1"	1.2	9.2988	9.1263	9.4713	8.5472	10.0353	"Mortality"
"CR1"	1.3	9.5775	9.4308	9.7243	8.9366	10.2037	"Mortality"
"CR1"	1.4	9.8204	9.6985	9.9422	9.2869	10.3396	"Mortality"
"CR1"	1.5	10.0271	9.9292	10.1251	9.5964	10.4443	"Mortality"
"CR1"	1.6	10.1982	10.1227	10.2737	9.8644	10.5194	"Mortality"
"CR1"	1.7	10.3342	10.2796	10.3889	10.0903	10.5666	"Mortality"
"CR1"	1.8	10.4363	10.4006	10.472	10.274	10.5882	"Mortality"
"CR1"	1.9	10.5058	10.4865	10.5251	10.4134	10.589	"Mortality"
"CR1"	2	10.5443	10.5343	10.5542	10.4907	10.5897	"Mortality"
"CR1"	2.1	10.5534	10.5363	10.5705	10.4735	10.6263	"Mortality"
"CR1"	2.2	10.5351	10.5067	10.5634	10.4088	10.6556	"Mortality"
"CR1"	2.3	10.4913	10.4523	10.5303	10.3204	10.6574	"Mortality"
"CR1"	2.4	10.424	10.3755	10.4724	10.2132	10.631	"Mortality"
"CR1"	2.5	10.3352	10.2785	10.3918	10.0896	10.578	"Mortality"
"CR1"	2.6	10.2268	10.163	10.2906	9.9512	10.5007	"Mortality"
"CR1"	2.7	10.101	10.031	10.1709	9.7994	10.4016	"Mortality"
"CR1"	2.8	9.9594	9.8842	10.0347	9.6355	10.2832	"Mortality"
"CR1"	2.9	9.8041	9.7243	9.8839	9.4607	10.148	"Mortality"
"CR1"	3	9.6366	9.5528	9.7204	9.2762	9.9982	"Mortality"
"CR1"	3.1	9.4587	9.3713	9.5461	9.0831	9.8361	"Mortality"
"CR1"	3.2	9.2719	9.1812	9.3626	8.8823	9.6638	"Mortality"
"CR1"	3.3	9.0777	8.9838	9.1715	8.6749	9.4832	"Mortality"
"CR1"	3.4	8.8773	8.7804	8.9741	8.4618	9.296	"Mortality"
"CR1"	3.5	8.6721	8.5723	8.7719	8.244	9.1038	"Mortality"
"CR1"	3.6	8.4631	8.3603	8.5659	8.0224	8.9079	"Mortality"
"CR1"	3.7	8.2515	8.1457	8.3574	7.798	8.7094	"Mortality"
"CR1"	3.8	8.0382	7.9293	8.1471	7.5716	8.5096	"Mortality"
"CR1"	3.9	7.8241	7.712	7.9361	7.344	8.3091	"Mortality"
"CR1"	4	7.6098	7.4946	7.7251	7.1162	8.1087	"Mortality"
