Strain	Day	Trial	Count
CR1	0	1	4
CR1	0	2	4
CR1	0	3	4
CR1	0	4	4
CR1	0	5	4
CR2	0	1	4
CR2	0	2	4
CR2	0	3	4
CR2	0	4	4
CR2	0	5	4
CR3	0	1	4
CR3	0	2	4
CR3	0	3	4
CR3	0	4	4
CR3	0	5	4
CR4	0	1	4
CR4	0	2	4
CR4	0	3	4
CR4	0	4	4
CR4	0	5	4
CR5	0	1	4
CR5	0	2	4
CR5	0	3	4
CR5	0	4	4
CR5	0	5	4
CR6	0	1	4
CR6	0	2	4
CR6	0	3	4
CR6	0	4	4
CR6	0	5	4
CR1	1	1	8
CR1	1	2	7
CR1	1	3	11
CR1	1	4	9
CR1	1	5	8
CR2	1	1	10
CR2	1	2	7
CR2	1	3	7
CR2	1	4	9
CR2	1	5	8
CR3	1	1	9
CR3	1	2	8
CR3	1	3	7
CR3	1	4	8
CR3	1	5	7
CR4	1	1	10
CR4	1	2	9
CR4	1	3	9
CR4	1	4	6
CR4	1	5	9
CR5	1	1	6
CR5	1	2	5
CR5	1	3	11
CR5	1	4	9
CR5	1	5	10
CR6	1	1	8
CR6	1	2	9
CR6	1	3	10
CR6	1	4	8
CR6	1	5	10
CR1	2	1	11
CR1	2	2	9
CR1	2	3	12
CR1	2	4	11
CR1	2	5	10
CR2	2	1	12
CR2	2	2	12
CR2	2	3	9
CR2	2	4	12
CR2	2	5	13
CR3	2	1	12
CR3	2	2	14
CR3	2	3	9
CR3	2	4	12
CR3	2	5	11
CR4	2	1	17
CR4	2	2	12
CR4	2	3	17
CR4	2	4	12
CR4	2	5	20
CR5	2	1	6
CR5	2	2	6
CR5	2	3	20
CR5	2	4	20
CR5	2	5	18
CR6	2	1	13
CR6	2	2	15
CR6	2	3	15
CR6	2	4	14
CR6	2	5	19
CR1	3	1	10
CR1	3	2	10
CR1	3	3	9
CR1	3	4	10
CR1	3	5	9
CR2	3	1	17
CR2	3	2	15
CR2	3	3	8
CR2	3	4	12
CR2	3	5	12
CR3	3	1	14
CR3	3	2	12
CR3	3	3	17
CR3	3	4	10
CR3	3	5	8
CR4	3	1	16
CR4	3	2	17
CR4	3	3	16
CR4	3	4	15
CR4	3	5	20
CR5	3	1	8
CR5	3	2	6
CR5	3	3	22
CR5	3	4	24
CR5	3	5	25
CR6	3	1	23
CR6	3	2	20
CR6	3	3	22
CR6	3	4	24
CR6	3	5	22
CR1	4	1	7
CR1	4	2	9
CR1	4	3	8
CR1	4	4	8
CR1	4	5	6
CR2	4	1	10
CR2	4	2	12
CR2	4	3	8
CR2	4	4	10
CR2	4	5	11
CR3	4	1	11
CR3	4	2	12
CR3	4	3	11
CR3	4	4	10
CR3	4	5	8
CR4	4	1	15
CR4	4	2	14
CR4	4	3	20
CR4	4	4	17
CR4	4	5	21
CR5	4	1	14
CR5	4	2	10
CR5	4	3	25
CR5	4	4	20
CR5	4	5	24
CR6	4	1	28
CR6	4	2	30
CR6	4	3	25
CR6	4	4	26
CR6	4	5	26
CR1	5	1	6
CR1	5	2	6
CR1	5	3	5
CR1	5	4	5
CR1	5	5	6
CR2	5	1	9
CR2	5	2	12
CR2	5	3	5
CR2	5	4	12
CR2	5	5	10
CR3	5	1	7
CR3	5	2	11
CR3	5	3	9
CR3	5	4	10
CR3	5	5	8
CR4	5	1	16
CR4	5	2	8
CR4	5	3	16
CR4	5	4	12
CR4	5	5	16
CR5	5	1	14
CR5	5	2	12
CR5	5	3	28
CR5	5	4	24
CR5	5	5	21
CR6	5	1	30
CR6	5	2	25
CR6	5	3	29
CR6	5	4	32
CR6	5	5	24
