Strain	Conc	Volu	Site	Dilu	Cove	Trial	Cells
CR1	10	5	21	1	1,29	1	4908
CR1	10	5	21	1	1,29	2	4857
CR1	10	5	21	1	1,29	3	4833
CR1	7,5	5	21	1	1,29	1	3584
CR1	7,5	5	21	1	1,29	2	3613
CR1	7,5	5	21	1	1,29	3	3609
CR1	5	5	21	1	1,29	1	2651
CR1	5	5	21	1	1,29	2	2507
CR1	5	5	21	1	1,29	3	2889
CR1	4	5	21	1	1,29	1	2312
CR1	4	5	21	1	1,29	2	2318
CR1	4	5	21	1	1,29	3	2278
CR1	3	5	21	1	1,29	1	1724
CR1	3	5	21	1	1,29	2	1645
CR1	3	5	21	1	1,29	3	1604
CR1	2	5	21	1	1,29	1	1134
CR1	2	5	21	1	1,29	2	1108
CR1	2	5	21	1	1,29	3	1171
CR1	1	5	21	1	1,29	1	630
CR1	1	5	21	1	1,29	2	615
CR1	1	5	21	1	1,29	3	627
CR1	0,8	5	21	1	1,29	1	554
CR1	0,8	5	21	1	1,29	2	543
CR1	0,8	5	21	1	1,29	3	537
CR1	0,6	5	21	1	1,29	1	440
CR1	0,6	5	21	1	1,29	2	435
CR1	0,6	5	21	1	1,29	3	443
CR1	0,4	5	21	1	1,29	1	274
CR1	0,4	5	21	1	1,29	2	265
CR1	0,4	5	21	1	1,29	3	247
CR1	0,2	5	21	1	1,29	1	149
CR1	0,2	5	21	1	1,29	2	140
CR1	0,2	5	21	1	1,29	3	150
CR2	10	5	21	1	1,29	1	4278
CR2	10	5	21	1	1,29	2	4610
CR2	10	5	21	1	1,29	3	4952
CR2	7,5	5	21	1	1,29	1	3530
CR2	7,5	5	21	1	1,29	2	3914
CR2	7,5	5	21	1	1,29	3	3834
CR2	5	5	21	1	1,29	1	2789
CR2	5	5	21	1	1,29	2	2226
CR2	5	5	21	1	1,29	3	2348
CR2	4	5	21	1	1,29	1	1562
CR2	4	5	21	1	1,29	2	1253
CR2	4	5	21	1	1,29	3	916
CR2	3	5	21	1	1,29	1	716
CR2	3	5	21	1	1,29	2	780
CR2	3	5	21	1	1,29	3	732
CR2	2	5	21	1	1,29	1	967
CR2	2	5	21	1	1,29	2	884
CR2	2	5	21	1	1,29	3	874
CR2	1	5	21	1	1,29	1	140
CR2	1	5	21	1	1,29	2	149
CR2	1	5	21	1	1,29	3	134
CR2	0,8	5	21	1	1,29	1	365
CR2	0,8	5	21	1	1,29	2	416
CR2	0,8	5	21	1	1,29	3	332
CR2	0,6	5	21	1	1,29	1	290
CR2	0,6	5	21	1	1,29	2	209
CR2	0,6	5	21	1	1,29	3	230
CR2	0,4	5	21	1	1,29	1	113
CR2	0,4	5	21	1	1,29	2	177
CR2	0,4	5	21	1	1,29	3	173
CR2	0,2	5	21	1	1,29	1	91
CR2	0,2	5	21	1	1,29	2	79
CR2	0,2	5	21	1	1,29	3	56
CR3	10	5	21	1	1,29	1	5050
CR3	10	5	21	1	1,29	2	4165
CR3	10	5	21	1	1,29	3	4681
CR3	7,5	5	21	1	1,29	1	3847
CR3	7,5	5	21	1	1,29	2	3578
CR3	7,5	5	21	1	1,29	3	3647
CR3	5	5	21	1	1,29	1	2889
CR3	5	5	21	1	1,29	2	2548
CR3	5	5	21	1	1,29	3	2633
CR3	4	5	21	1	1,29	1	2343
CR3	4	5	21	1	1,29	2	2231
CR3	4	5	21	1	1,29	3	2247
CR3	3	5	21	1	1,29	1	815
CR3	3	5	21	1	1,29	2	858
CR3	3	5	21	1	1,29	3	803
CR3	2	5	21	1	1,29	1	652
CR3	2	5	21	1	1,29	2	607
CR3	2	5	21	1	1,29	3	629
CR3	1	5	21	1	1,29	1	565
CR3	1	5	21	1	1,29	2	591
CR3	1	5	21	1	1,29	3	603
CR3	0,8	5	21	1	1,29	1	385
CR3	0,8	5	21	1	1,29	2	354
CR3	0,8	5	21	1	1,29	3	325
CR3	0,6	5	21	1	1,29	1	271
CR3	0,6	5	21	1	1,29	2	364
CR3	0,6	5	21	1	1,29	3	275
CR3	0,4	5	21	1	1,29	1	163
CR3	0,4	5	21	1	1,29	2	152
CR3	0,4	5	21	1	1,29	3	160
CR3	0,2	5	21	1	1,29	1	106
CR3	0,2	5	21	1	1,29	2	99
CR3	0,2	5	21	1	1,29	3	83
CR4	10	5	21	1	1,29	1	8771
CR4	10	5	21	1	1,29	2	8085
CR4	10	5	21	1	1,29	3	9019
CR4	7,5	5	21	1	1,29	1	7455
CR4	7,5	5	21	1	1,29	2	7333
CR4	7,5	5	21	1	1,29	3	6958
CR4	5	5	21	1	1,29	1	5424
CR4	5	5	21	1	1,29	2	5701
CR4	5	5	21	1	1,29	3	5598
CR4	4	5	21	1	1,29	1	4430
CR4	4	5	21	1	1,29	2	4428
CR4	4	5	21	1	1,29	3	4375
CR4	3	5	21	1	1,29	1	3676
CR4	3	5	21	1	1,29	2	3687
CR4	3	5	21	1	1,29	3	3616
CR4	2	5	21	1	1,29	1	2672
CR4	2	5	21	1	1,29	2	2652
CR4	2	5	21	1	1,29	3	2492
CR4	1	5	21	1	1,29	1	1373
CR4	1	5	21	1	1,29	2	1354
CR4	1	5	21	1	1,29	3	1389
CR4	0,8	5	21	1	1,29	1	1228
CR4	0,8	5	21	1	1,29	2	1099
CR4	0,8	5	21	1	1,29	3	1058
CR4	0,6	5	21	1	1,29	1	394
CR4	0,6	5	21	1	1,29	2	377
CR4	0,6	5	21	1	1,29	3	380
CR4	0,4	5	21	1	1,29	1	300
CR4	0,4	5	21	1	1,29	2	288
CR4	0,4	5	21	1	1,29	3	239
CR4	0,2	5	21	1	1,29	1	89
CR4	0,2	5	21	1	1,29	2	90
CR4	0,2	5	21	1	1,29	3	224
CR5	10	5	21	1	1,29	1	9089
CR5	10	5	21	1	1,29	2	9603
CR5	10	5	21	1	1,29	3	10086
CR5	7,5	5	21	1	1,29	1	8393
CR5	7,5	5	21	1	1,29	2	8521
CR5	7,5	5	21	1	1,29	3	8341
CR5	5	5	21	1	1,29	1	5055
CR5	5	5	21	1	1,29	2	5298
CR5	5	5	21	1	1,29	3	5409
CR5	4	5	21	1	1,29	1	4012
CR5	4	5	21	1	1,29	2	4353
CR5	4	5	21	1	1,29	3	4458
CR5	3	5	21	1	1,29	1	3661
CR5	3	5	21	1	1,29	2	3520
CR5	3	5	21	1	1,29	3	3529
CR5	2	5	21	1	1,29	1	2714
CR5	2	5	21	1	1,29	2	2249
CR5	2	5	21	1	1,29	3	2323
CR5	1	5	21	1	1,29	1	1344
CR5	1	5	21	1	1,29	2	1312
CR5	1	5	21	1	1,29	3	1412
CR5	0,8	5	21	1	1,29	1	1163
CR5	0,8	5	21	1	1,29	2	1088
CR5	0,8	5	21	1	1,29	3	1151
CR5	0,6	5	21	1	1,29	1	727
CR5	0,6	5	21	1	1,29	2	744
CR5	0,6	5	21	1	1,29	3	686
CR5	0,4	5	21	1	1,29	1	290
CR5	0,4	5	21	1	1,29	2	332
CR5	0,4	5	21	1	1,29	3	222
CR5	0,2	5	21	1	1,29	1	61
CR5	0,2	5	21	1	1,29	2	76
CR5	0,2	5	21	1	1,29	3	55
CR6	10	5	21	1	1,29	1	9096
CR6	10	5	21	1	1,29	2	9384
CR6	10	5	21	1	1,29	3	9713
CR6	7,5	5	21	1	1,29	1	8056
CR6	7,5	5	21	1	1,29	2	8169
CR6	7,5	5	21	1	1,29	3	8184
CR6	5	5	21	1	1,29	1	5954
CR6	5	5	21	1	1,29	2	5536
CR6	5	5	21	1	1,29	3	5123
CR6	4	5	21	1	1,29	1	4077
CR6	4	5	21	1	1,29	2	4167
CR6	4	5	21	1	1,29	3	4215
CR6	3	5	21	1	1,29	1	3302
CR6	3	5	21	1	1,29	2	3456
CR6	3	5	21	1	1,29	3	3470
CR6	2	5	21	1	1,29	1	2071
CR6	2	5	21	1	1,29	2	1981
CR6	2	5	21	1	1,29	3	2008
CR6	1	5	21	1	1,29	1	903
CR6	1	5	21	1	1,29	2	915
CR6	1	5	21	1	1,29	3	926
