"Strain"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"
"CR1"	0.1	0.0021	0.00168	0.00252
"CR1"	0.2	0.0041	0.00328	0.00492
"CR1"	0.3	0.0061	0.00488	0.00732
"CR1"	0.4	0.008	0.0064	0.0096
"CR1"	0.5	0.0099	0.00792	0.01188
"CR1"	0.6	0.0117	0.00936	0.01404
"CR1"	0.7	0.0134	0.01072	0.01608
"CR1"	0.8	0.0152	0.01216	0.01824
"CR1"	0.9	0.0169	0.01352	0.02028
"CR1"	1	0.0185	0.0148	0.0222
"CR1"	1.1	0.0201	0.01608	0.02412
"CR1"	1.2	0.0216	0.01728	0.02592
"CR1"	1.3	0.0232	0.01856	0.02784
"CR1"	1.4	0.0246	0.01968	0.02952
"CR1"	1.5	0.026	0.0208	0.0312
"CR1"	1.6	0.0275	0.022	0.033
"CR1"	1.7	0.0289	0.02312	0.03468
"CR1"	1.8	0.0302	0.02416	0.03624
"CR1"	1.9	0.0315	0.0252	0.0378
"CR1"	2	0.0328	0.02624	0.03936
"CR1"	2.1	0.034	0.0272	0.0408
"CR1"	2.2	0.0352	0.02816	0.04224
"CR1"	2.3	0.0364	0.02912	0.04368
"CR1"	2.4	0.0376	0.03008	0.04512
"CR1"	2.5	0.0388	0.03104	0.04656
"CR1"	2.6	0.0398	0.03184	0.04776
"CR1"	2.7	0.041	0.0328	0.0492
"CR1"	2.8	0.042	0.0336	0.0504
"CR1"	2.9	0.0431	0.03448	0.05172
"CR1"	3	0.0441	0.03528	0.05292
"CR1"	3.1	0.0451	0.03608	0.05412
"CR1"	3.2	0.0461	0.03688	0.05532
"CR1"	3.3	0.047	0.0376	0.0564
"CR1"	3.4	0.048	0.0384	0.0576
"CR1"	3.5	0.0489	0.03912	0.05868
"CR1"	3.6	0.0498	0.03984	0.05976
"CR1"	3.7	0.0507	0.04056	0.06084
"CR1"	3.8	0.0516	0.04128	0.06192
"CR1"	3.9	0.0525	0.042	0.063
"CR1"	4	0.0533	0.04264	0.06396
"CR1"	4.1	0.0541	0.04328	0.06492
"CR1"	4.2	0.055	0.044	0.066
"CR1"	4.3	0.0557	0.04456	0.06684
"CR1"	4.4	0.0565	0.0452	0.0678
"CR1"	4.5	0.0573	0.04584	0.06876
"CR1"	4.6	0.058	0.0464	0.0696
"CR1"	4.7	0.0588	0.04704	0.07056
"CR1"	4.8	0.0595	0.0476	0.0714
"CR1"	4.9	0.0602	0.04816	0.07224
"CR1"	5	0.0609	0.04872	0.07308
"CR1"	5.1	0.0616	0.04928	0.07392
