"Strain"	"Trial"	"Element"	"Mass"
"CR1"	1	"CellC"	65.151824
"CR1"	2	"CellC"	62.205178
"CR1"	3	"CellC"	53.675478
"CR1"	1	"CellN"	4.073536
"CR1"	2	"CellN"	4.013462
"CR1"	3	"CellN"	3.495935
"CR1"	1	"CellCN"	15.993924
"CR1"	2	"CellCN"	15.499132
"CR1"	3	"CellCN"	15.353683
"CR2"	1	"CellC"	38.315977
"CR2"	2	"CellC"	32.62812
"CR2"	3	"CellC"	43.909235
"CR2"	1	"CellN"	2.763868
"CR2"	2	"CellN"	2.076889
"CR2"	3	"CellN"	2.684896
"CR2"	1	"CellCN"	13.863172
"CR2"	2	"CellCN"	15.710093
"CR2"	3	"CellCN"	16.354166
"CR3"	1	"CellC"	44.18711
"CR3"	2	"CellC"	28.823088
"CR3"	3	"CellC"	36.467129
"CR3"	1	"CellN"	2.373198
"CR3"	2	"CellN"	1.932577
"CR3"	3	"CellN"	2.541414
"CR3"	1	"CellCN"	18.619226
"CR3"	2	"CellCN"	14.914328
"CR3"	3	"CellCN"	14.349149
"CR4"	1	"CellC"	22.61544
"CR4"	2	"CellC"	21.058679
"CR4"	3	"CellC"	15.535451
"CR4"	1	"CellN"	1.791872
"CR4"	2	"CellN"	1.642052
"CR4"	3	"CellN"	1.17142
"CR4"	1	"CellCN"	12.621125
"CR4"	2	"CellCN"	12.824612
"CR4"	3	"CellCN"	13.262067
"CR5"	1	"CellC"	31.741145
"CR5"	2	"CellC"	30.00081
"CR5"	3	"CellC"	25.414501
"CR5"	1	"CellN"	2.057314
"CR5"	2	"CellN"	2.061924
"CR5"	3	"CellN"	1.703389
"CR5"	1	"CellCN"	15.42844
"CR5"	2	"CellCN"	14.549911
"CR5"	3	"CellCN"	14.919963
"CR6"	1	"CellC"	31.895829
"CR6"	2	"CellC"	31.924354
"CR6"	3	"CellC"	23.919837
"CR6"	1	"CellN"	1.954119
"CR6"	2	"CellN"	1.945163
"CR6"	3	"CellN"	1.565662
"CR6"	1	"CellCN"	16.322358
"CR6"	2	"CellCN"	16.412174
"CR6"	3	"CellCN"	15.277778
